,signal_key_id,time_value,geo_key_id,AR,IF,DL,Tele,FlaSH,EWMA
0,True,True,True,False,False,False,False,False,False
1,True,True,True,False,False,False,False,False,False
2,True,True,True,False,False,False,False,False,False
3,True,True,True,False,False,False,False,False,False
4,True,True,True,True,True,False,True,False,False
5,True,True,True,False,False,False,False,False,False
6,True,True,True,False,False,False,False,False,False
7,True,True,True,False,False,False,False,False,False
8,True,True,True,False,False,False,False,False,False
9,True,True,True,True,True,False,True,False,False
