,signal_key_id,time_value,geo_key_id,EWMA,FlaSH,AR,IF,DL,Tele
0,154,2023-07-22,112,0.3792088533082176,0.1565624335247819,0.7857823291259823,0.13134079542748273,0.943915217909026,0.08722592945662536
1,1,2023-07-21,464,0.9573910511501504,0.5497864906832298,0.03756187518198583,0.021644181306415607,0.2747743375715811,0.012520625060661943
2,1,2023-07-21,31,0.8504319130350383,0.0036878881987577,0.015141221003591186,0.013879452586625254,0.19023585363486364,0.004076482577889935
3,154,2023-07-22,1755,0.1137273369437249,0.1372048500319081,0.41057394617766135,0.3597285067873303,0.437961419385568,0.3319828408007626
4,1,2023-07-22,1321,0.5989906832298136,0.8448175465838509,0.29939829192546585,0.0008734472049689441,0.3734472049689441,0.08802406832298136
5,1,2023-07-22,1321,0.5989906832298136,0.8448175465838509,0.29939829192546585,0.0008734472049689441,0.3734472049689441,0.08802406832298136
6,154,2023-07-22,1344,0.2205085943018601,0.2204850031908104,0.5646582519647535,0.2585139318885449,0.059061681352703024,0.010128693994280267
7,1,2023-07-21,2261,0.994661749005144,0.8197787267080745,0.9889352615742988,0.9985441133650393,0.0,0.5627487139668058
8,123,2023-07-21,3191,0.938749194068343,0.344683908045977,0.9251789199739753,0.9123834309260465,0.4064194317935372,0.450227716330514
9,154,2023-07-22,1755,0.1137273369437249,0.1372048500319081,0.41057394617766135,0.3597285067873303,0.437961419385568,0.3319828408007626
